Company Name,Code of Conduct URL,Summary,TXT Document
Philips,https://www.philips.com/c-dam/corporate/about-philips/investors/shareholder-info/agm-2021/general-business-principles.pdf,"COC",PHILIPS_general_business_principles.txt
Philips,https://www.philips.com/c-dam/corporate/about-philips/investors/shareholder-info/agm-2021/Philips-Financial-Code-of-Ethics-October-2021.pdf,"Financial COE",Philips_Financial_Code_of_Ethics_October_2021.txt
Philips,https://www.philips.com/c-dam/corporate/about-philips/investors/shareholder-info/agm-2021/Procurement-Code-of-Ethics.pdf,"Procurement COE",PHILIPS_Procurement_Code_of_Ethics.txt
Wirecard,https://www.wirecard.com/uploads/WDI-Statement-ESG.pdf,"Resposibility COC",Wirecard_WDI_Statement_ESG.txt
TeamViewer,https://ir.teamviewer.com/download/companies/teamviewer/CorporateGovernance/TeamViewerCoC.pdf,"COC",TeamViewerCoC.txt
Zalando,https://corporate.zalando.com/en/about-us/zalando-code-ethics,"COE",Zalando_SE_Code_of_Ethics_2022.txt
Zalando,https://corporate.zalando.com/sites/default/files/media-download/Zalando-SE_Code-of-conduct_2021.pdf,"COC",Zalando_SE_Code_of_conduct_2021.txt
Capgemini,https://prod.ucwe.capgemini.com/wp-content/uploads/2023/04/Capgemini-CBE_2023_English-v3.3.pdf,"COE",Capgemini_CBE_2023_English_v3.3.txt
Capgemini,https://www.capgemini.com/wp-content/uploads/2021/03/Capgemini_Code_of_Ethics_for_AI_2021_EN.pdf,"AI COE",Capgemini_Code_of_Ethics_for_AI_2021_EN.txt
Adesso,https://www.adesso-group.de/adesso-group-de/investor-relations/corporate-governance/adesso-group-code-of-conduct.pdf,"COC",adesso_group_code_of_conduct.txt
Trivago,https://ir.trivago.com/static-files/4d9817f2-939d-49d0-b8cf-5004889b465e,"COC COE",TRIVAGO_Code_of_Business_Conduct_and_Ethics_(trivago_IR_website_version).txt
Nutanix,https://ir.nutanix.com/static-files/f91ed677-7c71-493e-ba80-59d32690455a,"COC COE",Nutanix___Code_of_Business_Conduct_and_Ethics_(Last_Amended_2023.06.17)___Final.txt
Red Hat,https://www.redhat.com/licenses/2023_Code_of_Business_Conduct_and_Ethics_website.pdf,"COC COE",REDHAT_2023_Code_of_Business_Conduct_and_Ethics_website.txt
Square,https://assets.ctfassets.net/2d5q1td6cyxq/1fmEqrObxcvqQBtImpCHlr/81c091f04351d98f6a8beecd0c6d89cf/Code_of_Business_Conduct_and_Ethics.pdf,"COC COE",Squareup_Code_of_Business_Conduct_and_Ethics.txt
Zoom,https://investors.zoom.us/static-files/c5567c58-a58b-457a-8f05-e352fd46388b,"COC COE",ZOOM_Code_of_Conduct_External.txt
